COMID,LatSite,LonSite
17688275,37.46660747,-122.434142
2806611,37.62659915,-121.8830126
2805109,37.58576818,-122.0482955
2804621,37.52944444,-122.3583333
2803935,37.70493008,-122.0438508
17116317,37.2874456,-119.5195827
1897416,37.6760406,-121.2663293
2806979,37.5035472,-121.8246774
17116209,37.19855659,-119.2137328
2803983,37.68548644,-122.064407
2809681,37.4974356,-121.7735644
17115743,37.1321706,-119.5315256
2809701,37.50194444,-121.8183333
347613,38.33046907,-119.9610166
17115711,37.14466898,-119.3084588
17115703,37.14439236,-119.454577
8273423,38.34324776,-122.7019317
343333,38.19241898,-120.3549186
17115319,37.28883445,-119.530139
1671509,37.96297947,-122.556922
343221,38.19805556,-120.36
343523,38.15138889,-120.4402778
948040323,37.2213341,-119.2126217
8273639,38.44519026,-122.8072129
17116249,37.13689087,-119.2545673
17116241,37.1507812,-119.4604107
342417,38.4708333,-120.005
346319,38.41019006,-119.9957403
15033009,38.51518487,-122.0819159
17115563,37.22494688,-119.4565222
22057161,36.87966948,-119.1287268
17081559,37.93742147,-119.7982326
17116209,37.19911215,-119.2151217
17115319,37.2891122,-119.5298613
17116205,37.20772385,-119.3212376
17056290,38.44018829,-120.504925
1897594,37.9427017,-121.5341175
948021150,38.6354601,-121.2277262
5330519,37.9185367,-122.6930404
8273343,38.40213524,-122.7330434
17056948,38.36824625,-120.5454823
2665613,39.17045608,-123.668069
17081431,37.96769944,-119.9174029
17082145,37.87936848,-119.947126
348545,37.85159385,-120.6379816
7982806,39.2171141,-121.4313519
8273659,38.35213667,-122.7441551
8272725,38.50852336,-122.9277737
342447,38.4411111,-120.0027778
17053870,38.626297,-119.9371264
17081685,37.8902017,-119.9699046
15040257,38.4926849,-122.0030248
17053914,38.59796445,-119.9787946
17082195,37.9796433,-119.8818464
343715,38.1307536,-120.4852001
8272125,38.698521,-122.9580539
343249,38.19741675,-120.0085176
8272605,38.6410198,-122.7638792
8273161,38.49407838,-122.8533258
347511,38.29741247,-119.7412867
17078425,37.8418714,-120.1849103
343205,38.19325109,-120.0990762
8271049,38.5065797,-123.0697239
948021159,38.68268185,-121.6730164
8015823,38.77879078,-122.5174807
17056846,38.4207444,-120.5499267
8273703,38.49935758,-122.9983325
17056582,38.40324566,-120.4468676
1896910,37.9954775,-121.701898
5329511,38.08019988,-122.7844348
948040261,38.15852914,-121.3035592
342483,38.4343564,-120.0187968
346695,38.32935799,-119.9612944
17053540,38.5190783,-120.2126928
17053884,38.6097222,-119.945
348419,37.96103615,-120.6152035
17053540,38.5149117,-120.2157485
8273645,38.4365787,-122.7247096
1670231,38.2382502,-122.6402637
343331,38.1782509,-120.0465743
17082195,37.9740879,-119.881013
17082181,37.97575478,-119.9140695
8272107,38.71268685,-122.8958295
15022679,38.64184848,-121.3827302
15040355,38.49851847,-121.4527317
344905,38.2438067,-120.2910282
15048349,38.45601954,-121.5013437
8273343,38.37352515,-122.7683227
17066152,38.31658137,-120.5954844
348545,37.85881594,-120.6332592
17055724,38.47694444,-120.4530556
14981952,38.8237926,-120.5393692
14983456,38.7540718,-120.4274207
344873,38.247138,-120.03463
14992951,39.0401755,-120.9027165
349887,37.87603788,-120.6043691
20192498,38.50018619,-121.0452212
3953371,38.1524182,-121.3018925
15059805,38.2447222,-121.5052778
17053886,38.606575,-119.9262929
8273287,38.42546874,-122.8291584
2851625,39.00989476,-121.82469
347483,38.39241265,-119.9993515
17055540,38.49241177,-120.2901957
17057632,38.3126926,-120.7202112
1909424,37.96992306,-121.572174
1669045,38.4188004,-122.5627606
17056670,38.3896344,-120.5265927
8272211,38.65824247,-122.8294376
1670127,38.51129745,-122.455813
8272363,38.58741046,-122.8622159
345059,38.20463947,-120.0762977
343847,38.0929765,-120.1685215
348545,37.85437157,-120.6382594
8272685,38.5157448,-122.8647153
17053182,38.5363004,-120.2576942
17082365,37.9476989,-119.7879546
17055544,38.4957454,-120.2207489
5329621,38.0268673,-122.736377
1669113,38.3682457,-122.3033085
8272379,38.61324316,-122.8363818
8064105,39.3185118,-120.657712
17081409,37.969088,-119.882124
17082145,37.8815908,-119.9701824
343331,38.1776954,-120.046852
15040999,38.42324335,-121.353284
8271875,38.8260167,-122.9969442
17082139,37.89436824,-119.962682
948050091,38.32324705,-122.4944258
3953353,38.2261111,-121.0233333
17081597,37.9165884,-119.6598938
7981844,39.1757251,-121.5249647
17055544,38.4935232,-120.2210266
8272297,38.6329653,-122.8555494
14996611,38.93600919,-121.023833
14997301,38.95462796,-120.4015856
8058401,39.5623961,-120.8246682
948021159,38.67851526,-121.6727386
15039097,38.77434584,-121.5982928
15014455,39.21350886,-120.8452174
948020963,38.92739984,-122.8436046
14993625,39.04907139,-120.4832561
344931,38.18297416,-120.1588002
14983440,38.75518399,-120.3724184
15030099,38.727126,-121.8071874
8269099,39.1954471,-123.1950048
14993085,39.00546206,-120.3154712
8063479,39.4385083,-120.8121657
8064721,39.342123,-120.6416009
343159,38.2326959,-120.293528
15014563,39.131285,-120.95911
5329357,38.1757531,-122.8183254
8007779,39.0390618,-122.9133292
8268521,39.1129496,-123.1830602
2770060,39.98127129,-121.5885858
343061,38.2329737,-120.280472
14991687,39.2987899,-120.6429889
15069312,39.02628325,-121.4371809
8271917,38.79768326,-122.8024929
2776482,39.79432869,-121.4516352
8009213,38.95767446,-122.3427535
14993451,39.31351176,-120.66299
8271445,38.8793475,-123.0536124
1669845,38.10769775,-122.5799815
2790443,37.772983,-121.9946825
948020363,39.0001727,-121.4066238
2773566,40.16822096,-121.093016
